deck_id,entry_id,deck_variant_id,section,count,set_code,card_id,variant_id,name_snapshot,candidate_status,roles,role_source,role_confidence,impact_rating,synergy_rating,quality_rating,entry_tags,entry_notes,flags,starred,marked_for_deletion
signs-of-assassins,hidden-blade-core-main-001-rogue-s-passage,hidden-blade-core,main,1,FIC,b8cd0293-d140-4f80-804c-019957c1f49a,official-print,Rogue's Passage,active,land|evasion|ramp|assassin,heuristic,0.78,5,2,4,batch-001|assassin|commander|mardu|manabox|signs-of-assassins|land|evasion|ramp|hidden-blade-core|owned,"Why it is here: Deterministic unblockable line from the mana base; perfect for making Altaïr or one loaded Assassin connect. Variant fit: Keeps the owned-only mana count visible, even when the current pool is land-light. Role lens: land, evasion, ramp, and Assassin density.",owned-only-land-pool|land-light-review,false,false
signs-of-assassins,hidden-blade-core-main-002-towering-viewpoint,hidden-blade-core,main,1,ACR,d19115bf-562c-4bef-967d-52ec1e54c82e,official-print,Towering Viewpoint,active,artifact|evasion|assassin|land,heuristic,0.78,4,2,3,assassin|commander|mardu|signs-of-assassins|artifact|evasion|batch-002|ordered|partner-order|land|setup|hidden-blade-core|ordered-option|owned,"Why it is here: Land/setup card that supports freerunning and evasive attack sequencing while helping the mana count. Variant fit: Keeps the owned-only mana count visible, even when the current pool is land-light. Role lens: artifact support, evasion, Assassin density, and land.",owned-only-land-pool|land-light-review,false,false
signs-of-assassins,hidden-blade-core-main-003-ash-barrens,hidden-blade-core,main,1,FIC,77df073b-49dc-4743-82a3-d595bc938761,official-print,Ash Barrens,active,land|graveyard|ramp|tutor|assassin,heuristic,0.78,4,2,3,batch-001|assassin|commander|mardu|manabox|signs-of-assassins|land|graveyard|ramp|tutor|hidden-blade-core|owned,"Why it is here: Fills the mana base; in this deck, lands are also being watched because the owned-only builds are short on scanned basics. Variant fit: Keeps the owned-only mana count visible, even when the current pool is land-light. Role lens: land, graveyard setup, ramp, and tutor/setup.",owned-only-land-pool|land-light-review,false,false
signs-of-assassins,hidden-blade-core-main-004-battlefield-forge,hidden-blade-core,main,1,FIC,a2de3346-9647-4540-ba41-e67c24ddf141,official-print,Battlefield Forge,active,land|ramp|removal|assassin,heuristic,0.78,4,1,3,batch-001|assassin|commander|mardu|manabox|signs-of-assassins|land|ramp|removal|hidden-blade-core|owned,"Why it is here: Fills the mana base; in this deck, lands are also being watched because the owned-only builds are short on scanned basics. Variant fit: Keeps the owned-only mana count visible, even when the current pool is land-light. Role lens: land, ramp, removal, and Assassin density.",owned-only-land-pool|land-light-review,false,false
signs-of-assassins,hidden-blade-core-main-005-demolition-field,hidden-blade-core,main,1,FIC,7f6d8cae-face-4bff-8c0a-348cefe1e9dd,official-print,Demolition Field,active,land|ramp|removal|tutor|assassin,heuristic,0.78,4,1,3,batch-001|assassin|commander|mardu|manabox|signs-of-assassins|land|ramp|removal|tutor|hidden-blade-core|owned,"Why it is here: Fills the mana base; in this deck, lands are also being watched because the owned-only builds are short on scanned basics. Variant fit: Keeps the owned-only mana count visible, even when the current pool is land-light. Role lens: land, ramp, removal, and tutor/setup.",owned-only-land-pool|land-light-review,false,false
signs-of-assassins,hidden-blade-core-main-006-high-market,hidden-blade-core,main,1,FIC,09eeb9f5-4149-47c6-bfd0-472237043672,official-print,High Market,active,land|ramp|removal|assassin,heuristic,0.78,4,1,3,batch-001|assassin|commander|mardu|manabox|signs-of-assassins|land|ramp|removal|hidden-blade-core|owned,"Why it is here: Fills the mana base; in this deck, lands are also being watched because the owned-only builds are short on scanned basics. Variant fit: Keeps the owned-only mana count visible, even when the current pool is land-light. Role lens: land, ramp, removal, and Assassin density.",owned-only-land-pool|land-light-review,false,false
signs-of-assassins,hidden-blade-core-main-007-path-of-ancestry,hidden-blade-core,main,1,FIC,4dd83a5d-1908-4141-8449-fac5e77cd6c0,official-print,Path of Ancestry,active,land|ramp|draw|fixing|assassin,heuristic,0.78,4,1,3,batch-001|assassin|commander|mardu|manabox|signs-of-assassins|land|ramp|draw|fixing|hidden-blade-core|owned,"Why it is here: Tribal fixer that also scries when casting Assassins, so it improves both mana and card quality. Variant fit: Keeps the owned-only mana count visible, even when the current pool is land-light. Role lens: land, ramp, card flow, and mana fixing.",owned-only-land-pool|land-light-review,false,false
signs-of-assassins,hidden-blade-core-main-008-sulfurous-springs,hidden-blade-core,main,1,FIC,35b403ee-62cc-4f67-911e-4bf26e495374,official-print,Sulfurous Springs,active,land|ramp|removal|assassin,heuristic,0.78,4,1,3,batch-001|assassin|commander|mardu|manabox|signs-of-assassins|land|ramp|removal|hidden-blade-core|owned,"Why it is here: Fills the mana base; in this deck, lands are also being watched because the owned-only builds are short on scanned basics. Variant fit: Keeps the owned-only mana count visible, even when the current pool is land-light. Role lens: land, ramp, removal, and Assassin density.",owned-only-land-pool|land-light-review,false,false
signs-of-assassins,hidden-blade-core-main-009-clifftop-retreat,hidden-blade-core,main,1,FIC,2cddc851-fef6-4a45-818c-97d3dfc4140d,official-print,Clifftop Retreat,active,land|ramp|assassin,heuristic,0.78,3,1,2,batch-001|assassin|commander|mardu|manabox|signs-of-assassins|land|ramp|hidden-blade-core|owned,"Why it is here: Fills the mana base; in this deck, lands are also being watched because the owned-only builds are short on scanned basics. Variant fit: Keeps the owned-only mana count visible, even when the current pool is land-light. Role lens: land, ramp, and Assassin density.",owned-only-land-pool|land-light-review,false,false
signs-of-assassins,hidden-blade-core-main-010-command-tower,hidden-blade-core,main,1,FIC,4a2dfd72-a8f4-4e43-b5de-caf6a129a51a,official-print,Command Tower,active,land|ramp|fixing|assassin,heuristic,0.78,3,1,3,batch-001|assassin|commander|mardu|manabox|signs-of-assassins|land|ramp|fixing|hidden-blade-core|owned,"Why it is here: Stabilizes the Mardu mana base so Altaïr can come down on time and the deck can cast black, red, and white spells in the same game. Variant fit: Keeps the owned-only mana count visible, even when the current pool is land-light. Role lens: land, ramp, mana fixing, and Assassin density.",owned-only-land-pool|land-light-review,false,false
